Table Name in Schema 1,Attribute in Schema 1,Table Name in Schema 2,Attribute in Schema 2,Attribute Mapping Notes / Remarks
DBFILE,DBFILE_NAME,N/A,N/A,File name char(100) - no Target equivalent
DBFILE,VERSION,N/A,N/A,File version int - no Target equivalent
DBFILE,DBFILE_ID,Entity,DocumentId,File ID may conceptually map to Entity DocumentId uniqueidentifier for document reference
DBFILE,DBFILE_ENCODING,N/A,N/A,File encoding char(20) - no Target equivalent
DBFILE,DESCRIPTION,Entity,Note,File description may map to Entity Note varchar(255) for documentation
DBFILE,KILOBYTES,N/A,N/A,File size int - no Target equivalent
DBFILE,CREATED,Entity,CreatedDate,File creation timestamp maps to Entity CreatedDate datetime
DBFILE,CREATED_BY,Entity,CreatedBy,File creator char(31) maps to Entity CreatedBy uniqueidentifier
DBFILE_DETAIL,CUSTOMER,N/A,N/A,File detail customer reference - no Target equivalent
DBFILE_DETAIL,DBFILE_ID,Entity,DocumentId,File detail ID may map to Entity DocumentId for document line reference
DBFILE_DETAIL,DBFILE_LINE,N/A,N/A,File line number int - no Target equivalent
DBFILE_DETAIL,DBFILE_DATA,N/A,N/A,File line data char(1024) - no Target equivalent
DOCUMENT_ID,CUSTOMER,Entity,CustomerId,Document counter customer reference maps to Entity CustomerId
DOCUMENT_ID,DOCUMENT_COUNTER,Entity,DocumentId,Document counter int may relate to Entity DocumentId uniqueidentifier generation
DOCUMENT_ID,BANK_REC_COUNTER,N/A,N/A,Bank reconciliation counter int - no Target equivalent
N/A,N/A,EntityHistory,HistoryId,Target has audit history table - Source lacks comprehensive audit trail
N/A,N/A,EntityHistory,EntityId,Target tracks entity changes via EntityId - Source lacks entity-level audit
N/A,N/A,EntityHistory,FieldName,Target tracks field-level changes nvarchar(100) - Source lacks field audit
N/A,N/A,EntityHistory,OldValue,Target tracks old values nvarchar(max) - Source lacks value history
N/A,N/A,EntityHistory,NewValue,Target tracks new values nvarchar(max) - Source lacks value history
N/A,N/A,EntityHistory,ChangeType,Target tracks change type nvarchar(10) - Source lacks change classification
N/A,N/A,EntityHistory,ChangedBy,Target tracks who changed uniqueidentifier - Source CUSTOMER has CHANGED_BY
N/A,N/A,EntityHistory,ChangedDate,Target tracks when changed datetime2(7) - Source CUSTOMER has CHANGED
N/A,N/A,EntityHistory,ChangeReason,Target tracks change reason nvarchar(255) - Source lacks reason tracking
N/A,N/A,EntityHistory,TransactionId,Target tracks transaction context uniqueidentifier - Source lacks transaction tracking
N/A,N/A,EntityType,EntityTypeId,Target has entity type lookup table - Source uses CLIENT_GROUP inline
CUSTOMER,CLIENT_GROUP_DESCRIPTION,EntityType,Description,Source CLIENT_GROUP_DESCRIPTION maps to EntityType Description nvarchar(255)
N/A,N/A,EntityType,CreatedBy,Target EntityType tracks creator - Source lacks type audit
N/A,N/A,EntityType,CreatedDate,Target EntityType tracks creation - Source lacks type audit
N/A,N/A,EntityType,UpdatedBy,Target EntityType tracks updater - Source lacks type audit
N/A,N/A,EntityType,UpdatedDate,Target EntityType tracks update - Source lacks type audit
N/A,N/A,EntityType,EntityIcon,Target has icon reference nvarchar(50) - Source lacks UI metadata
N/A,N/A,EntityType,IsActive,Target EntityType has active flag - Source lacks type status
N/A,N/A,EntityType,TypeCode,Target has type code nvarchar(50) - Source CLIENT_GROUP is inline code
N/A,N/A,EntityType,TypeValue,Target has type value nvarchar(50) - Source lacks separate type value
N/A,N/A,EntityGroupMapping,EntityId,Target has entity group mapping - Source lacks group relationships
N/A,N/A,EntityGroupMapping,EntityGroupId,Target maps entities to groups - Source lacks grouping structure
N/A,N/A,EntityGroupMapping,IsActive,Target EntityGroupMapping has active flag - Source lacks group status
N/A,N/A,EntityGroupMapping,CreatedBy,Target tracks group mapping creator - Source lacks group audit
N/A,N/A,EntityGroupMapping,CreatedDate,Target tracks group mapping creation - Source lacks group audit
N/A,N/A,EntityGroupMapping,ModifiedBy,Target tracks group mapping modifier - Source lacks group audit
N/A,N/A,EntityGroupMapping,ModifiedDate,Target tracks group mapping modification - Source lacks group audit
