Table Name,Attribute in Schema 1,Attribute in Schema 2,Attribute Mapping Notes
N/A -> Enterprise,N/A,IsCascadeDeactivation (bit),Cascade deactivation flag in target not in source schema.
N/A -> Entity,N/A,Id (uniqueidentifier),Target Entity table has no direct equivalent in source schema. New entity hierarchy.
N/A -> Entity,N/A,EntityNumber (varchar(50)),Entity number in target not present in source schema.
N/A -> Entity,N/A,EnterpriseId (uniqueidentifier),Entity-Enterprise relationship in target not in source.
N/A -> Entity,N/A,CustomerId (uniqueidentifier),Entity-Customer relationship in target not in source.
N/A -> Entity,N/A,EntityName (nvarchar(130)),Entity name in target not present in source schema.
N/A -> Entity,N/A,CashOrAccuralBasisIndicator (varchar(10)),Accounting basis indicator in target not in source.
N/A -> Entity,N/A,IsActive (bit),Entity active status in target not in source.
N/A -> Entity,N/A,CreatedBy (uniqueidentifier),Entity creation audit in target not present in source.
N/A -> Entity,N/A,CreatedDate (datetime),Entity creation timestamp in target not in source.
N/A -> Entity,N/A,ModifiedBy (uniqueidentifier),Entity modification audit in target not present in source.
N/A -> Entity,N/A,ModifiedDate (datetime),Entity modification timestamp in target not in source.
N/A -> Entity,N/A,EntityAddress (nvarchar(255)),Entity address in target not present in source schema.
N/A -> Entity,N/A,PreferredCurrencyId (uniqueidentifier),Preferred currency reference in target not in source.
N/A -> Entity,N/A,EIN (varchar(20)),Employer ID in target not directly mapped from source.
N/A -> Entity,N/A,UseMailingAddressAsPrimary (bit),Mailing address preference in target not in source.
N/A -> Entity,N/A,BusinessPartyId (uniqueidentifier),Business party reference in target not in source.
N/A -> Entity,N/A,ChartOfAccountsNameId (uniqueidentifier),Chart of accounts reference in target not in source.
N/A -> Entity,N/A,EntityTypeId (uniqueidentifier),Entity type reference in target not present in source.
N/A -> Entity,N/A,CurrentFiscalYear (int),Current fiscal year in target not in source schema.
N/A -> Entity,N/A,CurrentOpenPeriod (int),Current open period in target not in source.
N/A -> Entity,N/A,InceptionFicaslYear (int),Inception fiscal year in target not present in source.
N/A -> Entity,N/A,InceptionFiscalPeriod (int),Inception fiscal period in target not in source.
N/A -> Entity,N/A,DeactivatedDate (datetime),Entity deactivation date in target not in source.
N/A -> Entity,N/A,DeactivatedBY (uniqueidentifier),Entity deactivation user in target not present in source.
N/A -> Entity,N/A,FinancialInstitutionId (uniqueidentifier),Financial institution reference in target not in source.
N/A -> Entity,N/A,DocumentId (uniqueidentifier),Document reference in target not present in source schema.
N/A -> Entity,N/A,SIN (varchar(20)),Social Insurance Number in target not in source.
N/A -> Entity,N/A,SSN (varchar(20)),Social Security Number in target Entity table (source has in CUSTOMER).
N/A -> Entity,N/A,Note (varchar(255)),Notes field in target not present in source schema.
N/A -> Entity,N/A,CalendarPatternNameId (uniqueidentifier),Calendar pattern reference in target not in source.
N/A -> Entity,N/A,EntityShortName (varchar(50)),Entity short name in target not present in source.
N/A -> Entity,N/A,IsCascadeDeactivation (bit),Cascade deactivation flag in target not in source.
N/A -> EntityHistory,N/A,HistoryId (uniqueidentifier),Target audit history table has no equivalent in source schema.
N/A -> EntityHistory,N/A,EntityId (uniqueidentifier),Entity reference in history table not in source.
N/A -> EntityHistory,N/A,FieldName (nvarchar(100)),Field name tracking in target history not in source.
N/A -> EntityHistory,N/A,OldValue (nvarchar(max)),Old value tracking in target not present in source.
N/A -> EntityHistory,N/A,NewValue (nvarchar(max)),New value tracking in target not in source schema.
N/A -> EntityHistory,N/A,ChangeType (nvarchar(10)),Change type classification in target not in source.
N/A -> EntityHistory,N/A,ChangedBy (uniqueidentifier),Change user audit in target not present in source.
N/A -> EntityHistory,N/A,ChangedDate (datetime2(7)),Change timestamp in target not in source schema.
N/A -> EntityHistory,N/A,ChangeReason (nvarchar(255)),Change reason tracking in target not in source.
N/A -> EntityHistory,N/A,TransactionId (uniqueidentifier),Transaction reference in target history not in source.
N/A -> EntityType,N/A,EntityTypeId (uniqueidentifier),Target entity type table has no equivalent in source schema.
N/A -> EntityType,N/A,Description (nvarchar(255)),Entity type description in target not in source.
N/A -> EntityType,N/A,CreatedBy (uniqueidentifier),Entity type creation audit in target not present in source.
N/A -> EntityType,N/A,CreatedDate (datetime2(7)),Entity type creation timestamp in target not in source.
N/A -> EntityType,N/A,UpdatedBy (uniqueidentifier),Entity type update audit in target not in source.
N/A -> EntityType,N/A,UpdatedDate (datetime2(7)),Entity type update timestamp in target not in source.
N/A -> EntityType,N/A,EntityIcon (nvarchar(50)),Entity icon reference in target not present in source.
N/A -> EntityType,N/A,IsActive (bit),Entity type active status in target not in source.
N/A -> EntityType,N/A,TypeCode (nvarchar(50)),Type code in target not present in source schema.
N/A -> EntityType,N/A,TypeValue (nvarchar(50)),Type value in target not in source schema.
N/A -> EntityGroupMapping,N/A,EntityId (uniqueidentifier),Target entity group mapping has no equivalent in source schema.
N/A -> EntityGroupMapping,N/A,EntityGroupId (uniqueidentifier),Entity group reference in target not in source.
N/A -> EntityGroupMapping,N/A,IsActive (bit),Group mapping active status in target not in source.
N/A -> EntityGroupMapping,N/A,CreatedBy (uniqueidentifier),Group mapping creation audit in target not present in source.
N/A -> EntityGroupMapping,N/A,CreatedDate (datetime),Group mapping creation timestamp in target not in source.
N/A -> EntityGroupMapping,N/A,ModifiedBy (uniqueidentifier),Group mapping modification audit in target not in source.
N/A -> EntityGroupMapping,N/A,ModifiedDate (datetime),Group mapping modification timestamp in target not in source.
