Table Name,Attribute in Schema 1,Attribute in Schema 2,Attribute Mapping Notes
CUSTOMER → Entity,N/A,EntityAddress [nvarchar(255)],"Consolidated address field. Concatenate CUSTOMER_ADDR + CUSTOMER_ADDR2 + CUSTOMER_CITY + CUSTOMER_STATE + CUSTOMER_ZIP."
CUSTOMER → Entity,N/A,CashOrAccuralBasisIndicator [varchar(10)],"Accounting basis. No source. Populate from configuration or default value."
CUSTOMER → Entity,N/A,PreferredCurrencyId [uniqueidentifier],"Currency reference. No source. Populate with default currency GUID (e.g., USD)."
CUSTOMER → Entity,N/A,UseMailingAddressAsPrimary [bit],"Address preference. No source. Default to NULL or 0."
CUSTOMER → Entity,N/A,BusinessPartyId [uniqueidentifier],"Party reference. No source. Populate through separate migration."
CUSTOMER → Entity,N/A,ChartOfAccountsNameId [uniqueidentifier],"COA reference. No source. Populate based on business rules or default."
CUSTOMER → Entity,N/A,EntityTypeId [uniqueidentifier],"Entity type classification. Derive from CLIENT_GROUP or use default entity type GUID."
CUSTOMER → Entity,N/A,CurrentFiscalYear [int],"Fiscal year. No source. Populate with current year or configuration value."
CUSTOMER → Entity,N/A,CurrentOpenPeriod [int],"Fiscal period. No source. Populate with current period or configuration value."
CUSTOMER → Entity,N/A,InceptionFicaslYear [int],"Inception year. No source. Use migration year or earliest transaction date."
CUSTOMER → Entity,N/A,InceptionFiscalPeriod [int],"Inception period. No source. Use migration period or default to 1."
CUSTOMER → Entity,N/A,DeactivatedDate [datetime],"Deactivation timestamp. No source. Leave NULL for active entities."
CUSTOMER → Entity,N/A,DeactivatedBY [uniqueidentifier],"Deactivation user. No source. Leave NULL for active entities."
CUSTOMER → Entity,N/A,FinancialInstitutionId [uniqueidentifier],"Bank reference. No source. Populate through separate migration or leave NULL."
CUSTOMER → Entity,N/A,DocumentId [uniqueidentifier],"Document reference. No source. Populate through separate migration or leave NULL."
CUSTOMER → Entity,N/A,Note [varchar(255)],"Notes field. No direct source. Concatenate CLIENT_GROUP_DESCRIPTION or leave NULL."
CUSTOMER → Entity,N/A,CalendarPatternNameId [uniqueidentifier],"Calendar reference. No source. Populate with default calendar pattern GUID."
CUSTOMER → Entity,N/A,EntityShortName [varchar(50)],"Short name. Use CUSTOMER (3-char code) as short name."
CUSTOMER → Entity,N/A,IsCascadeDeactivation [bit],"Cascade flag. No source. Default to 0 (false)."
CUSTOMER_SECURITY → EntityGroupMapping,USER_NAME [char(12)],N/A (User table),"User identifier. Requires user migration to map char(12) username to uniqueidentifier. No direct field in EntityGroupMapping."
CUSTOMER_SECURITY → EntityGroupMapping,CUSTOMER [char(3)],EntityId [uniqueidentifier],"Customer/Entity reference. Map CUSTOMER code to EntityId GUID through lookup table."
CUSTOMER_SECURITY → EntityGroupMapping,CURRENT_FLAG [char(1)],IsActive [bit],"Active status flag. Convert char(1) to bit: 'Y'/'1' → 1 (true), 'N'/'0' → 0 (false)."
CUSTOMER_SECURITY → EntityGroupMapping,EIN_CURRENT_FLAG [char(1)],IsActive [bit],"Alternative active flag. May combine with CURRENT_FLAG using AND/OR logic. Convert char(1) → bit."
CUSTOMER_SECURITY → EntityGroupMapping,N/A,EntityGroupId [uniqueidentifier],"Security group reference. No direct source. Requires security group migration/mapping based on USER_NAME permissions."
CUSTOMER_SECURITY → EntityGroupMapping,N/A,CreatedBy [uniqueidentifier],"Creation audit. Populate with system user GUID."
CUSTOMER_SECURITY → EntityGroupMapping,N/A,CreatedDate [datetime],"Creation timestamp. Use migration date or derive from source audit fields."
CUSTOMER_SECURITY → EntityGroupMapping,N/A,ModifiedBy [uniqueidentifier],"Modification audit. Populate with system user GUID or leave NULL."
CUSTOMER_SECURITY → EntityGroupMapping,N/A,ModifiedDate [datetime],"Modification timestamp. Leave NULL initially."
DBFILE → EntityHistory,CUSTOMER [char(3)],EntityId [uniqueidentifier],"Entity reference. Map CUSTOMER code to EntityId GUID through lookup."
DBFILE → EntityHistory,CLIENT [char(4)],EntityId [uniqueidentifier],"Client/Entity reference. Combine CUSTOMER + CLIENT to resolve EntityId."
DBFILE → EntityHistory,DBFILE_RESOURCE [char(20)],FieldName [nvarchar(100)],"Resource/field identifier. Map DBFILE_RESOURCE to FieldName. Data type: char(20) → nvarchar(100)."
DBFILE → EntityHistory,DBFILE_PATH [char(100)],OldValue [nvarchar(max)],"File path as historical value. Store DBFILE_PATH in OldValue field for audit trail."
DBFILE → EntityHistory,DBFILE_NAME [char(100)],NewValue [nvarchar(max)],"File name as new value. Store DBFILE_NAME in NewValue field."
DBFILE → EntityHistory,VERSION [int],TransactionId [uniqueidentifier],"Version tracking. Convert VERSION int to TransactionId GUID using deterministic function or mapping table."
DBFILE → EntityHistory,DESCRIPTION [char(45)],ChangeReason [nvarchar(255)],"Description mapping. char(45) → nvarchar(255). Use DESCRIPTION as ChangeReason."
DBFILE → EntityHistory,CREATED [datetime],ChangedDate [datetime2(7)],"Timestamp mapping. datetime → datetime2(7). Direct mapping with precision adjustment."
DBFILE → EntityHistory,CREATED_BY [char(31)],ChangedBy [uniqueidentifier],"User audit. Map CREATED_BY username to ChangedBy GUID through user lookup."
DBFILE → EntityHistory,N/A,HistoryId [uniqueidentifier],"Primary key. Generate new GUID for each history record."
DBFILE → EntityHistory,N/A,ChangeType [nvarchar(10)],"Change type classification. No source. Default to 'INSERT' or 'MIGRATE' for historical records."
DBFILE → EntityHistory,DBFILE_ID [int],TransactionId [uniqueidentifier],"Alternative transaction ID mapping. Convert DBFILE_ID int to GUID."
DBFILE → EntityHistory,DBFILE_ENCODING [char(20)],ChangeReason [nvarchar(255)],"Encoding info. Append DBFILE_ENCODING to ChangeReason for additional context."
DBFILE → EntityHistory,KILOBYTES [int],ChangeReason [nvarchar(255)],"File size info. Append KILOBYTES to ChangeReason as metadata."
DBFILE_DETAIL → EntityHistory,CUSTOMER [char(3)],EntityId [uniqueidentifier],"Entity reference. Map CUSTOMER to EntityId GUID."
DBFILE_DETAIL → EntityHistory,DBFILE_ID [int],TransactionId [uniqueidentifier],"Transaction reference. Convert DBFILE_ID to TransactionId GUID."
DBFILE_DETAIL → EntityHistory,DBFILE_LINE [int],FieldName [nvarchar(100)],"Line number as field identifier. Convert DBFILE_LINE to string and use as FieldName (e.g., 'Line_1', 'Line_2')."
DBFILE_DETAIL → EntityHistory,DBFILE_DATA [char(1024)],NewValue [nvarchar(max)],"Data content mapping. char(1024) → nvarchar(max). Store DBFILE_DATA as NewValue."
DBFILE_DETAIL → EntityHistory,N/A,HistoryId [uniqueidentifier],"Primary key. Generate new GUID for each detail record."
DBFILE_DETAIL → EntityHistory,N/A,OldValue [nvarchar(max)],"Previous value. No source. Leave NULL for initial migration."
DBFILE_DETAIL → EntityHistory,N/A,ChangeType [nvarchar(10)],"Change type. Default to 'INSERT' or 'DETAIL' for detail records."
DBFILE_DETAIL → EntityHistory,N/A,ChangedBy [uniqueidentifier],"Audit user. Populate with system user GUID or derive from parent DBFILE.CREATED_BY."
DBFILE_DETAIL → EntityHistory,N/A,ChangedDate [datetime2(7)],"Audit timestamp. Populate with migration date or derive from parent DBFILE.CREATED."
DBFILE_DETAIL → EntityHistory,N/A,ChangeReason [nvarchar(255)],"Reason. Populate with 'File Detail Migration' or similar default."
DOCUMENT_ID → Entity,CUSTOMER [char(3)],CustomerId [uniqueidentifier],"Customer reference. Map CUSTOMER to CustomerId GUID."
DOCUMENT_ID → Entity,DOCUMENT_COUNTER [int],DocumentId [uniqueidentifier],"Document counter. Convert DOCUMENT_COUNTER to DocumentId GUID using deterministic function."
DOCUMENT_ID → Entity,BANK_REC_COUNTER [int],Note [varchar(255)],"Bank reconciliation counter. Store BANK_REC_COUNTER in Note field as metadata."
N/A → Enterprise,N/A,Id [uniqueidentifier],"No source table. Enterprise is new hierarchy level. Generate GUIDs for enterprise records based on business rules."
N/A → Enterprise,N/A,EnterpriseNumber [varchar(50)],"No source. Populate with generated enterprise numbers or derive from customer groupings."
N/A → Enterprise,N/A,CustomerId [uniqueidentifier],"No source. Link to migrated Customer records based on business hierarchy."
N/A → Enterprise,N/A,EnterpriseName [nvarchar(130)],"No source. Populate with enterprise names from business rules or configuration."
N/A → Enterprise,N/A,Description [nvarchar(256)],"No source. Populate with descriptions from configuration."
N/A → Enterprise,N/A,IsActive [bit],"No source. Default to 1 (true) for new enterprise records."
N/A → Enterprise,N/A,CreatedBy [uniqueidentifier],"No source. Populate with system user GUID."
N/A → Enterprise,N/A,CreatedDate [datetime],"No source. Use migration date."
N/A → Enterprise,N/A,ModifiedBy [uniqueidentifier],"No source. Leave NULL initially."
N/A → Enterprise,N/A,ModifiedDate [datetime],"No source. Leave NULL initially."
N/A → Enterprise,N/A,DeactivatedDate [datetime],"No source. Leave NULL for active enterprises."
N/A → Enterprise,N/A,DeactivatedBy [uniqueidentifier],"No source. Leave NULL for active enterprises."
N/A → Enterprise,N/A,IsCascadeDeactivation [bit],"No source. Default to 0 (false)."
N/A → EntityType,N/A,EntityTypeId [uniqueidentifier],"No source table. EntityType is reference data. Populate with standard entity types (Corporation, LLC, Partnership, etc.)."
N/A → EntityType,N/A,Description [nvarchar(255)],"No source. Populate with entity type descriptions from configuration."
N/A → EntityType,N/A,CreatedBy [uniqueidentifier],"No source. Populate with system user GUID."
N/A → EntityType,N/A,CreatedDate [datetime2(7)],"No source. Use migration date."
N/A → EntityType,N/A,UpdatedBy [uniqueidentifier],"No source. Leave NULL initially."
N/A → EntityType,N/A,UpdatedDate [datetime2(7)],"No source. Leave NULL initially."
N/A → EntityType,N/A,EntityIcon [nvarchar(50)],"No source. Populate with icon names from configuration."
N/A → EntityType,N/A,IsActive [bit],"No source. Default to 1 (true) for reference data."
N/A → EntityType,N/A,TypeCode [nvarchar(50)],"No source. Populate with standard type codes (CORP, LLC, PART, etc.)."
N/A → EntityType,N/A,TypeValue [nvarchar(50)],"No source. Populate with type values from configuration."
