Table Name,Attribute in Schema 1,Attribute in Schema 2,Attribute Mapping Notes
DOCUMENT_ID,DOCUMENT_COUNTER,N/A,Source-only attribute - int counter for document sequencing. No direct equivalent in Target schema.
DOCUMENT_ID,BANK_REC_COUNTER,N/A,Source-only attribute - int counter for bank reconciliation. No direct equivalent in Target schema.
N/A,N/A,Enterprise.Id,Target-only table/attribute - uniqueidentifier primary key for Enterprise entity. New hierarchical level in Target schema above Customer.
N/A,N/A,Enterprise.EnterpriseNumber,Target-only attribute - varchar(50) enterprise number. New business identifier in Target schema hierarchy.
N/A,N/A,Enterprise.CustomerId,Target-only attribute - uniqueidentifier reference linking Enterprise to Customer. New relationship in Target schema.
N/A,N/A,Enterprise.EnterpriseName,Target-only attribute - nvarchar(130) enterprise name. New entity name field in Target hierarchy.
N/A,N/A,Enterprise.IsActive,Target-only attribute - bit active status flag. New field for enterprise lifecycle management.
N/A,N/A,Enterprise.IsCascadeDeactivation,Target-only attribute - bit flag for cascade deactivation behavior. New business rule support in Target.
N/A,N/A,Entity.Id,Target-only table/attribute - uniqueidentifier primary key for Entity. New normalized entity structure in Target.
N/A,N/A,Entity.EntityNumber,Target-only attribute - varchar(50) entity number. New business identifier replacing Source CLIENT concept.
N/A,N/A,Entity.EnterpriseId,Target-only attribute - uniqueidentifier reference to Enterprise. New hierarchical relationship in Target.
N/A,N/A,Entity.EntityName,Target-only attribute - nvarchar(130) entity name. New entity naming field.
N/A,N/A,Entity.CashOrAccuralBasisIndicator,Target-only attribute - varchar(10) accounting basis indicator. New accounting classification in Target.
N/A,N/A,Entity.EntityAddress,Target-only attribute - nvarchar(255) entity address. Consolidated address field in Target.
N/A,N/A,Entity.PreferredCurrencyId,Target-only attribute - uniqueidentifier currency reference. New multi-currency support in Target.
N/A,N/A,Entity.EIN,Target-only attribute - varchar(20) Employer Identification Number. Tax identifier in Entity table.
N/A,N/A,Entity.ChartOfAccountsNameId,Target-only attribute - uniqueidentifier COA reference. New accounting structure reference in Target.
N/A,N/A,Entity.EntityTypeId,Target-only attribute - uniqueidentifier entity type reference. New entity classification in Target.
N/A,N/A,Entity.CurrentFiscalYear,Target-only attribute - int current fiscal year. New fiscal period tracking in Target.
N/A,N/A,Entity.CurrentOpenPeriod,Target-only attribute - int current open period. New period management in Target.
N/A,N/A,Entity.InceptionFicaslYear,Target-only attribute - int inception fiscal year. New historical tracking in Target.
N/A,N/A,Entity.InceptionFiscalPeriod,Target-only attribute - int inception fiscal period. New historical tracking in Target.
N/A,N/A,Entity.FinancialInstitutionId,Target-only attribute - uniqueidentifier financial institution reference. New banking relationship in Target.
N/A,N/A,Entity.SIN,Target-only attribute - varchar(20) Social Insurance Number. Canadian tax identifier in Target.
N/A,N/A,Entity.SSN,Target-only attribute - varchar(20) Social Security Number. US tax identifier in Entity table (Source had in CUSTOMER).
N/A,N/A,Entity.Note,Target-only attribute - varchar(255) notes field. New free-text annotation capability in Target.
N/A,N/A,Entity.CalendarPatternNameId,Target-only attribute - uniqueidentifier calendar pattern reference. New fiscal calendar management in Target.
N/A,N/A,Entity.EntityShortName,Target-only attribute - varchar(50) entity short name. New abbreviated naming field in Target.
N/A,N/A,EntityHistory.HistoryId,Target-only table/attribute - uniqueidentifier primary key for audit history. New comprehensive audit trail table in Target.
N/A,N/A,EntityHistory.EntityId,Target-only attribute - uniqueidentifier entity reference for history tracking. New audit capability in Target.
N/A,N/A,EntityHistory.FieldName,Target-only attribute - nvarchar(100) field name for change tracking. New field-level audit in Target.
N/A,N/A,EntityHistory.OldValue,Target-only attribute - nvarchar(max) previous value. New before-image capture in Target.
N/A,N/A,EntityHistory.NewValue,Target-only attribute - nvarchar(max) new value. New after-image capture in Target.
N/A,N/A,EntityHistory.ChangeType,Target-only attribute - nvarchar(10) change type classification. New audit metadata in Target.
N/A,N/A,EntityHistory.ChangedBy,Target-only attribute - uniqueidentifier user reference for change. New audit trail in Target.
N/A,N/A,EntityHistory.ChangedDate,Target-only attribute - datetime2(7) change timestamp. New audit timestamp in Target.
N/A,N/A,EntityHistory.ChangeReason,Target-only attribute - nvarchar(255) reason for change. New audit justification field in Target.
N/A,N/A,EntityHistory.TransactionId,Target-only attribute - uniqueidentifier transaction reference. New transaction-level audit grouping in Target.
N/A,N/A,EntityType.EntityTypeId,Target-only table/attribute - uniqueidentifier primary key for entity type lookup. New reference data table in Target.
N/A,N/A,EntityType.Description,Target-only attribute - nvarchar(255) entity type description. New classification description in Target.
N/A,N/A,EntityType.EntityIcon,Target-only attribute - nvarchar(50) icon reference for UI. New presentation metadata in Target.
N/A,N/A,EntityType.TypeCode,Target-only attribute - nvarchar(50) type code. New coded classification in Target.
N/A,N/A,EntityType.TypeValue,Target-only attribute - nvarchar(50) type value. New classification value in Target.
N/A,N/A,EntityGroupMapping.EntityId,Target-only table/attribute - uniqueidentifier entity reference for grouping. New many-to-many relationship table in Target.
N/A,N/A,EntityGroupMapping.EntityGroupId,Target-only attribute - uniqueidentifier entity group reference. New grouping capability in Target.
Cross-Schema Mapping,CUSTOMER (Source),Customer (Target),Conceptual entity mapping - Source CUSTOMER table maps to Target Customer table with significant structural changes. Source uses char(3) composite key; Target uses uniqueidentifier single key. Address fields moved from inline to BusinessPartyId reference. Enhanced audit fields in Target.
Cross-Schema Mapping,CLIENT (Source),Entity (Target),Conceptual entity mapping - Source CLIENT concept (char(4) in DBFILE) maps to Target Entity table. Target introduces hierarchical relationship with Enterprise and enhanced entity management capabilities including fiscal periods and accounting basis.
Cross-Schema Mapping,Source Inline Addresses,Target BusinessPartyId,Architectural pattern change - Source stores address fields inline (CUSTOMER_ADDR, CUSTOMER_CITY, CUSTOMER_STATE, CUSTOMER_ZIP). Target normalizes addresses through BusinessPartyId reference to separate party management system.
Cross-Schema Mapping,Source char/varchar types,Target nvarchar types,Data type modernization - Source predominantly uses char fixed-length and varchar. Target uses nvarchar for Unicode support and varchar for codes. Requires character set conversion and length adjustments.
Cross-Schema Mapping,Source int identifiers,Target uniqueidentifier,Primary key strategy change - Source uses int and char composite keys. Target uses uniqueidentifier (GUID) for all primary keys. Requires key transformation and surrogate key generation.
Cross-Schema Mapping,Source datetime,Target datetime2(7),Temporal data type upgrade - Source uses datetime with 3.33ms precision. Target uses datetime2(7) with 100ns precision for enhanced temporal accuracy.
Cross-Schema Mapping,Source minimal audit,Target comprehensive audit,Audit capability enhancement - Source has limited audit fields (CHANGED, CHANGED_BY). Target has comprehensive audit (CreatedBy, CreatedDate, UpdatedBy, UpdatedDate, DeactivatedBy, DeactivatedDate) plus EntityHistory table for field-level change tracking.
Cross-Schema Mapping,Source flat structure,Target hierarchical structure,Schema architecture evolution - Source has flat table structure. Target introduces Enterprise > Customer > Entity hierarchy with normalized reference data (EntityType, EntityGroupMapping) and enhanced relationship management.
Cross-Schema Mapping,CUSTOMER_SECURITY (Source),No Direct Equivalent (Target),Security model change - Source has explicit CUSTOMER_SECURITY table for user-customer access control. Target schema provided does not include equivalent security tables suggesting security handled externally or in separate schema.
Cross-Schema Mapping,DBFILE/DBFILE_DETAIL (Source),DocumentId reference (Target),Document management pattern change - Source has explicit DBFILE and DBFILE_DETAIL tables for document storage with inline content. Target uses DocumentId reference suggesting document management externalized to separate document service or repository.
